laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
03-14-2022 15:23:54,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:24:02,'valor cambió Filtros instalados - Mando Desde No a Sí - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:24:10,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:24:11,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Inflar a Inflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:25:36,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:25:38,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Inflar a Desinflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:25:55,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:26:08,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:26:10,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:28:38,'receta detenida en operación 1 (Carga)
03-14-2022 15:28:38,'Abrir proceso
03-14-2022 15:47:32,'valor cambió  (Operación 1) - Punto Establecido Desde 500 ms a 500 ms - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:47:32,'valor cambió  (Operación 1) - la seguridad Valor Desde 500 ms a 500 ms - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:47:33,'valor cambió  (Operación 1) - Límite de alarma mínimo Desde 0 °C a 7 °C - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:47:33,'valor cambió  (Operación 1) - Val. de paso Desde 0 °C a 40 °C - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:47:46,'valor cambió  (Operación 1) - Val. de paso Desde 40 °C a 30 °C - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:48:03,'receta iniciada en operación 1 (Carga)
03-14-2022 15:49:25,'valor cambió  (Operación 1) - Punto Establecido Desde 45 % a 20 % - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:49:31,'valor cambió  (Operación 1) - Punto Establecido Desde 20 % a 10 % - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:54:14,'receta pausada en operación 1 (Carga)
03-14-2022 15:54:22,'receta iniciada en operación 1 (Carga)
03-14-2022 15:54:30,'receta detenida en operación 1 (Carga)
03-14-2022 15:54:39,'receta iniciada en operación 1 (Carga)
03-14-2022 15:54:40,'el modo de ejecutar cambió el manual en operación 1 (Carga)
03-14-2022 15:54:42,'el modo de ejecutar cambió a automático en operación 1 (Carga)
03-14-2022 15:54:50,'el modo de ejecutar cambió el manual en operación 1 (Carga)
03-14-2022 15:55:02,'el cambio manual de una operación a la operación 2 (Refrigeracion/ Calefaccion)
03-14-2022 15:55:10,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
03-14-2022 15:55:13,'el modo de ejecutar cambió a automático en operación 2 (Refrigeracion/ Calefaccion)
03-14-2022 15:55:19,'Cerrar proceso
03-14-2022 15:56:04,'valor cambió Lámpara (X203020) - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-14-2022 15:56:11,'valor cambió Lámpara (X203020) - Mando Desde Encendido a Apagado - por estebanba (Esteban Barrera Agudelo)
03-15-2022 09:55:02,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por jairogc (Jairo Garcia Carvajal)
03-15-2022 09:55:18,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por jairogc (Jairo Garcia Carvajal)
03-15-2022 09:56:02,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por jairogc (Jairo Garcia Carvajal)
03-15-2022 09:57:39,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por jairogc (Jairo Garcia Carvajal)
03-15-2022 10:00:41,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por jairogc (Jairo Garcia Carvajal)
03-15-2022 10:01:06,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por jairogc (Jairo Garcia Carvajal)
03-15-2022 15:16:32,'receta detenida en operación 1 (Carga)
03-15-2022 15:16:32,'Abrir proceso
03-15-2022 15:17:12,'el cambio manual de una operación a la operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:17:14,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:18:12,'el cambio manual de una operación a la operación 1 (Carga)
03-15-2022 15:18:34,'valor cambió  (Operación 1) - Punto Establecido Desde 45 % a 30 % - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:20:23,'valor cambió DP Filtros de producto (PD200000) - Límite de alarma mínimo Desde 0 Pa a 1 Pa - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:20:55,'valor cambió DP Filtros de producto (PD200000) - Límite de alarma mínimo Desde 1 Pa a 0 Pa - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:21:01,'receta pausada en operación 1 (Carga)
03-15-2022 15:21:16,'receta detenida en operación 1 (Carga)
03-15-2022 15:21:36,'el cambio manual de una operación a la operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:21:39,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:22:04,'valor cambió DP Producto (PD200130) - Límite de alarma máximo Desde 7500 Pa a 100 Pa - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:22:38,'valor cambió DP Producto (PD200130) - Límite de alarma máximo Desde 100 Pa a 7500 Pa - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:23:22,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 °C a 7 °C - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:24:09,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 7 °C a 0 °C - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:24:38,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 0 g/kg a 20 g/kg - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:25:55,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 20 g/kg a 0 g/kg - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:25:55,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 g/kg a 5 g/kg - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:26:36,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 5 g/kg a 0 g/kg - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:28:44,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:28:47,'Cerrar proceso
03-15-2022 15:28:56,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:29:08,'valor cambió Modo de espera - Mando Desde Encendido a Apagado - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:29:12,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:29:29,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por estebanba (Esteban Barrera Agudelo)
03-15-2022 15:30:00,'valor cambió Modo de servicio sólo para Glatt - Mando Desde Apagado a Encendido - por jm (thats me)
03-15-2022 15:30:16,'valor cambió Calentador medio de vapor modulante
Válvula (V401710) - Modo de Servicio Punto de Ajuste Desde 100 % a 100 % - por jm (thats me)
03-15-2022 15:30:16,'valor cambió Calentador medio de vapor modulante
Válvula (V401710) - Modo de servicio Desde Cerrado a Abrir - por jm (thats me)
03-15-2022 15:32:03,'valor cambió Calentador medio de vapor modulante
Válvula (V401710) - Modo de Servicio Punto de Ajuste Desde 100 % a 0 % - por jm (thats me)
03-15-2022 15:32:03,'valor cambió Calentador medio de vapor modulante
Válvula (V401710) - Modo de servicio Desde Abrir a Abrir - por jm (thats me)
03-15-2022 15:32:06,'valor cambió Calentador medio de vapor modulante
Válvula (V401710) - Modo de servicio Desde Abrir a Cerrado - por jm (thats me)
03-15-2022 15:32:10,'valor cambió Modo de servicio sólo para Glatt - Mando Desde Encendido a Apagado - por jm (thats me)
03-15-2022 15:32:12,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por jm (thats me)
03-15-2022 15:33:01,'receta detenida en operación 1 (Carga)
03-15-2022 15:33:01,'Abrir proceso
03-15-2022 15:33:28,'el cambio manual de una operación a la operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:34:05,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 0 °C a 45 °C - por jm (thats me)
