laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (01-29-2025 05:48:48 ... 02-05-2025 06:48:48)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
01-29-2025 11:31:57,'valor cambió Temperatura del aire de entrada (T104050) - Establecer tiempo de alarma Desde 200 segundo a 180 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:03,'valor cambió Humedad del aire de entrada (M103000) - Establecer tiempo de alarma Desde 150 segundo a 300 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:13,'valor cambió Temperatura del aire de escape (T120000) - Establecer tiempo de alarma Desde 500 segundo a 300 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:18,'valor cambió Temperatura del producto (T202010) - Establecer tiempo de alarma Desde 100 segundo a 300 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:26,'valor cambió Monitoreo Vib. Ventilador aire de escape (G122000) - Establecer tiempo de alarma Desde 200 segundo a 180 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:33,'valor cambió Detección de polvo de aire de escape (Q120010) - Establecer tiempo de alarma Desde 60 segundo a 120 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:39,'valor cambió Temperatura de deshumidificación (T101510) - Establecer tiempo de alarma Desde 50 segundo a 180 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:44,'valor cambió Humedad de producto (M202230) - Establecer tiempo de alarma Desde 40 segundo a 30 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:32:48,'valor cambió Temperatura media de lavado (T401710) - Establecer tiempo de alarma Desde 110 segundo a 180 segundo - por linaro (Lina Rios Otalvaro)
01-29-2025 11:36:08,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 11:37:10,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 11:42:57,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 11:43:08,'valor cambió Filtros instalados - Mando Desde Sí a No - por linaro (Lina Rios Otalvaro)
01-29-2025 11:44:12,'valor cambió Filtros instalados - Mando Desde No a Sí - por linaro (Lina Rios Otalvaro)
01-29-2025 11:44:16,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 11:49:11,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:18,'valor cambió Control de encendido / apagado - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:26,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:35,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:44,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:51,'valor cambió PUERTO USB (?REF_USBOPP1?) - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:05:59,'valor cambió Control de encendido / apagado - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:14:34,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:15:39,'valor cambió Cabrestante ABAJO - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:15:41,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por linaro (Lina Rios Otalvaro)
01-29-2025 12:17:05,'valor cambió Cabrestante ABAJO - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:17:07,'valor cambió Cabrestante ARRIBA - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:17:08,'valor cambió REMOVER PISTOLA DE ASPERSION - Mando Desde --- a De acuerdo - por linaro (Lina Rios Otalvaro)
01-29-2025 12:24:39,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:26:03,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:26:53,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:33:00,'valor cambió Llenar unidad de aspersión  - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:33:24,'valor cambió Llenar unidad de aspersión  - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:33:38,'valor cambió Llenar unidad de aspersión  - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:33:56,'valor cambió Llenar unidad de aspersión  - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:35:16,'valor cambió Llenar unidad de aspersión  - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:35:18,'valor cambió bomba de aspersión reversa - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:35:19,'valor cambió bomba de aspersión reversa - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:35:21,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:35:44,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:03,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:11,'valor cambió Llenar unidad de aspersión  - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:23,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:33,'valor cambió Modo de espera - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:36:47,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:37:13,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:37:25,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 12:38:22,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:38:34,'valor cambió Prueba de aspersión - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 12:38:44,'valor cambió Prueba de aspersión - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 12:38:56,'valor cambió Prueba de aspersión - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 14:34:17,'valor cambió Reiniciar cantidad de aspersión - Mando Desde --- a Reiniciar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:45:02,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:46:28,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:49:14,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:50:03,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:50:16,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:51:55,'valor cambió Sellos contenedor de producto - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 15:54:04,'valor cambió Muestra de humedad requerida - Mando Desde Sí a No - por linaro (Lina Rios Otalvaro)
01-29-2025 15:54:10,'valor cambió Muestra de humedad requerida - Mando Desde No a Sí - por linaro (Lina Rios Otalvaro)
01-29-2025 15:57:59,'valor cambió Muestra de humedad requerida - Mando Desde Sí a No - por linaro (Lina Rios Otalvaro)
01-29-2025 15:58:24,'valor cambió Muestra de humedad requerida - Mando Desde No a Sí - por linaro (Lina Rios Otalvaro)
01-29-2025 16:04:49,'valor cambió Lámpara (X203020) - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 16:17:30,'receta detenida en operación 1 (Precalentamiento)
01-29-2025 16:17:30,'Abrir proceso
01-29-2025 16:18:09,'valor cambió  (Operación 1) - Punto Establecido Desde 70 °C a 80 °C - por linaro (Lina Rios Otalvaro)
01-29-2025 16:18:13,'valor cambió  (Operación 1) - Punto Establecido Desde 80 °C a 70 °C - por linaro (Lina Rios Otalvaro)
01-29-2025 16:18:25,'el cambio manual de una operación a la operación 2 (Carga de producto)
01-29-2025 16:19:01,'valor cambió  (Operación 2) - Punto Establecido Desde 85 % a 0 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:20:13,'receta iniciada en operación 2 (Carga de producto)
01-29-2025 16:20:43,'valor cambió  (Operación 2) - Punto Establecido Desde 0 % a 10 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:21:26,'valor cambió  (Operación 2) - Punto Establecido Desde 10 % a 20 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:22:08,'valor cambió  (Operación 2) - Punto Establecido Desde 20 % a 30 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:22:30,'valor cambió  (Operación 2) - Punto Establecido Desde 30 % a 40 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:22:51,'valor cambió  (Operación 2) - Punto Establecido Desde 40 % a 50 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:23:08,'valor cambió  (Operación 2) - Punto Establecido Desde 50 % a 60 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:23:26,'valor cambió  (Operación 2) - Punto Establecido Desde 60 % a 70 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:23:58,'valor cambió  (Operación 2) - Punto Establecido Desde 70 % a 80 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:24:16,'receta pausada en operación 2 (Carga de producto)
01-29-2025 16:24:18,'receta detenida en operación 2 (Carga de producto)
01-29-2025 16:25:32,'valor cambió  (Operación 2) - Punto Establecido Desde 80 % a 80 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:25:42,'receta iniciada en operación 2 (Carga de producto)
01-29-2025 16:26:55,'valor cambió  (Operación 2) - Punto Establecido Desde 80 % a 90 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:27:13,'valor cambió  (Operación 2) - Punto Establecido Desde 90 % a 100 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:27:28,'receta detenida en operación 2 (Carga de producto)
